,Survived,Pclass,Sex,Age,IsAlone,SexClass
356,1,1,1,22,0,2
340,1,2,0,2,0,2
572,1,1,0,36,1,1
255,1,3,1,29,0,4
584,0,3,0,25,1,3
864,0,2,0,24,1,2
636,0,3,0,32,1,3
713,0,3,0,29,1,3
302,0,3,0,19,1,3
362,0,3,1,45,0,4
175,0,3,0,18,0,3
107,1,3,0,25,1,3
159,0,3,0,25,0,3
265,0,2,0,36,1,2
166,1,1,1,35,0,2
718,0,3,0,25,1,3
673,1,2,0,31,1,2
42,0,3,0,25,1,3
445,1,1,0,4,0,1
193,1,2,0,3,0,2
426,1,2,1,28,0,3
81,1,3,0,29,1,3
116,0,3,0,70,1,3
645,1,1,0,48,0,1
70,0,2,0,32,1,2
748,0,1,0,19,0,1
314,0,2,0,43,0,2
688,0,3,0,18,1,3
832,0,3,0,25,1,3
63,0,3,0,4,0,3
37,0,3,0,21,1,3
131,0,3,0,20,1,3
885,0,3,1,39,0,4
162,0,3,0,26,1,3
457,1,1,1,35,0,2
708,1,1,1,22,1,2
297,0,1,1,2,0,2
474,0,3,1,22,1,4
767,0,3,1,30,1,4
872,0,1,0,33,1,1
153,0,3,0,40,0,3
316,1,2,1,24,0,3
195,1,1,1,58,1,2
504,1,1,1,16,1,2
829,1,1,1,62,1,2
390,1,1,0,36,0,1
875,1,3,1,15,1,4
155,0,1,0,51,0,1
751,1,3,0,6,0,3
734,0,2,0,23,1,2
64,0,1,0,40,1,1
699,0,3,0,42,1,3
823,1,3,1,27,0,4
39,1,3,1,14,0,4
292,0,2,0,36,1,2
880,1,2,1,25,0,3
704,0,3,0,26,0,3
349,0,3,0,42,1,3
720,1,2,1,6,0,3
566,0,3,0,19,1,3
861,0,2,0,21,0,2
311,1,1,1,18,0,2
417,1,2,1,18,0,3
164,0,3,0,1,0,3
577,1,1,1,39,0,2
594,0,2,0,37,0,2
72,0,2,0,21,1,2
173,0,3,0,21,1,3
344,0,2,0,36,1,2
140,0,3,1,21,0,4
600,1,2,1,24,0,3
833,0,3,0,23,1,3
532,0,3,0,17,0,3
670,1,2,1,40,0,3
410,0,3,0,25,1,3
325,1,1,1,36,1,2
632,1,1,0,32,1,1
138,0,3,0,16,1,3
112,0,3,0,22,1,3
432,1,2,1,42,0,3
603,0,3,0,44,1,3
615,1,2,1,24,0,3
335,0,3,0,25,1,3
475,0,1,0,40,1,1
295,0,1,0,40,1,1
765,1,1,1,51,0,2
71,0,3,1,16,0,4
588,0,3,0,22,1,3
700,1,1,1,18,0,2
308,0,2,0,30,0,2
260,0,3,0,25,1,3
625,0,1,0,61,1,1
395,0,3,0,22,1,3
731,0,3,0,11,1,3
859,0,3,0,25,1,3
784,0,3,0,25,1,3
493,0,1,0,71,1,1
29,0,3,0,25,1,3
301,1,3,0,25,0,3
714,0,2,0,52,1,2
80,0,3,0,22,1,3
601,0,3,0,25,1,3
777,1,3,1,5,1,4
161,1,2,1,40,1,3
486,1,1,1,35,0,2
525,0,3,0,40,1,3
598,0,3,0,25,1,3
548,0,3,0,33,0,3
597,0,3,0,49,1,3
794,0,3,0,25,1,3
438,0,1,0,64,0,1
462,0,1,0,47,1,1
236,0,2,0,44,0,2
732,0,2,0,30,1,2
189,0,3,0,36,1,3
376,1,3,1,22,1,4
618,1,2,1,4,0,3
692,1,3,0,25,1,3
26,0,3,0,25,1,3
669,1,1,1,35,0,2
180,0,3,1,21,0,4
654,0,3,1,18,1,4
254,0,3,1,41,0,4
616,0,3,0,34,0,3
764,0,3,0,16,1,3
443,1,2,1,28,1,3
854,0,2,1,44,0,3
646,0,3,0,19,1,3
882,0,3,1,22,1,4
76,0,3,0,25,1,3
386,0,3,0,1,0,3
321,0,3,0,27,1,3
824,0,3,0,2,0,3
552,0,3,0,25,1,3
88,1,1,1,23,0,2
211,1,2,1,35,1,3
591,1,1,1,52,0,2
30,0,1,0,40,1,1
